District,State,Total,20&over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U
Atlantic,DE,67,43,1,8,3,5,2,4,0,1
Atlantic,E PA,1426,513,41,145,196,150,136,135,65,45
Atlantic,NJ,1107,228,22,64,98,141,154,178,127,95
Central,IL,2516,562,33,166,252,275,336,345,306,241
Central,IA,213,43,4,16,26,17,27,19,26,35
Central,KS,93,25,0,4,10,9,12,10,13,10
Central,MO,426,145,5,19,30,39,36,46,51,55
Central,NE,124,15,0,3,10,6,23,12,23,32
Central,WI,3328,572,36,149,266,415,458,473,443,516
Massachusetts,MA,9102,1297,65,432,838,1147,1313,1373,1220,1417
Michigan,MI,4883,1697,89,296,406,457,485,543,419,491
Mid-American,IN,357,101,1,23,34,38,43,35,36,46
Mid-American,KY,139,35,3,14,25,15,14,15,11,7
Mid-American,OH,1101,396,16,68,99,94,121,125,102,80
Mid-American,W PA,1104,178,22,66,118,99,117,124,151,229
Mid-American,WV,132,16,1,6,11,16,6,18,19,39
Minnesota,MN,12573,1518,68,354,737,1564,2328,2229,1959,1816
New England,CT,2333,380,25,111,207,300,353,358,298,301
New England,ME,1226,219,17,67,130,152,172,153,135,181
New England,NH,1138,240,8,66,97,172,161,141,105,148
New England,RI,827,137,8,47,77,84,113,94,87,180
New England,VT,1341,225,10,56,90,187,197,168,154,254
New York,NY,5534,1090,54,309,501,600,770,725,709,776
Northern Plains,MT,786,387,8,48,59,63,53,74,38,56
Northern Plains,ND,1005,42,12,62,116,131,179,186,134,143
Northern Plains,SD,395,18,3,46,69,50,51,58,54,46
Northern Plains,WY,328,91,4,27,29,42,40,26,36,33
Pacific,AK,1870,926,15,65,112,138,132,165,133,184
Pacific,CA,1661,962,23,78,85,113,126,114,88,72
Pacific,NV,87,27,2,4,9,12,10,5,10,8
Pacific,OR,104,51,1,8,9,10,8,4,7,6
Pacific,WA,852,509,10,26,51,48,34,56,56,62
Rocky Mountain,AZ,260,96,4,11,28,35,22,22,20,22
Rocky Mountain,CO,2110,1072,29,113,159,181,171,156,132,97
Rocky Mountain,ID,575,284,12,27,37,44,55,37,40,39
Rocky Mountain,NM,203,66,5,10,17,12,24,20,27,22
Rocky Mountain,OK,38,14,2,2,3,3,7,1,4,2
Rocky Mountain,TX,703,373,8,41,37,68,51,55,38,32
Rocky Mountain,UT,368,200,8,21,19,26,34,29,16,15
Southeastern,AL,95,41,1,3,3,8,10,9,7,13
Southeastern,AR,24,10,0,1,1,3,1,4,0,4
Southeastern,DC,137,70,7,5,9,8,10,12,9,7
Southeastern,FL,609,340,11,25,41,37,38,55,36,26
Southeastern,GA,154,55,2,5,17,11,17,20,19,8
Southeastern,LA,29,13,1,2,0,1,1,2,3,6
Southeastern,MD,891,299,17,66,109,96,90,93,75,46
Southeastern,MS,17,7,0,1,1,1,2,3,1,1
Southeastern,NC,403,187,5,14,30,29,37,44,31,26
Southeastern,SC,79,26,1,3,9,10,8,3,11,8
Southeastern,TN,137,30,2,8,12,13,17,18,13,24
Southeastern,VA,599,230,5,33,49,58,70,55,54,45
Totals,,65609,16101,727,3244,5381,7233,8675,8649,7551,8048
